NAMES,MEANING,GENDER
manmayi,A jealous woman,Girl
manmeet,Friend of Mind; Companion of Mind; Well Wisher for Mind; Supporter and Guider of Mind,Boy
manmohan,"A pleasing, heart-winning person",Boy
manmohon,Handsome; Beautiful; Appealing; Attractive; Good Looking; Charming,Boy
manmukat,"A person who has a liberated mind, a liberal",Girl
manna,A heavenly woman,Girl
mannat,One who has made a vow to a deity,Girl
mannata,A woman who made a vow to the God,Girl
mannith,The chosen one,Boy
mannitha,One who converses with God,Girl
mannivannan,Related name of Lord Ayyappa,Boy
mannya,Flower,Girl
manobhava,One who is imaginative,Boy
manogna,She who is beautiful,Girl
manogya,Delightful; Pleasing; Handsome; Good Looking; Appealing; Attractive,Boy
manoha,One who is lovable,Boy
manohar,Beautiful; Captivating; One who Wins over Mind; Appealing; Attractive; Pleasing,Boy
manohara,He who steals the heart,Boy
manoharan,One of many names of Lord Muruga signifying him as pleasing and appealing to look,Boy
manohardeep,A charming light,Boy
manohari,A thief of hearts,Girl
manoharjeet,A victory of charm,Boy
manoharjot,A charming lamp,Boy
manoharpal,The defender of charm,Boy
manoj,One who is born of mind,Boy
manoja,Born of the mind,Girl
manojavam,One of many names of Lord Hanuman; As swift as Thought; Powerful and Strong like Wind,Boy
manojavaya,One of many names of Lord Hanuman; As swift as Thought; Powerful and Strong like Wind,Boy
manojaya,He who conquers hearts,Boy
manojkumar,One who wins over hearts,Boy
manojna,"One who is pleasant, beautiful",Girl
manojpal,The prostector of the heart,Boy
manojpreet,Lover of honest heart,Boy
manojya,One full of beauty,Girl
manomay,Conqueror of Ones Heart; One who has control over heart; One who will win hearts,Boy
manomohini,A charming woman; An attractive and graceful women who is full of elegance,Girl
manomohon,Handsome; Beautiful; Appealing; Attractive; Good Looking; Charming,Boy
manonita,One who is led by the mind,Boy
manonith,Carried by the Mind; Done by the Mind; One who is blessed with good mind,Boy
manonmana,A hindi Boy name,Boy
manoo,"An original, unique man",Boy
manooj,A sanskrit name for Cupid,Boy
manoop,Indian name for son,Boy
manor,A shining light,Boy
manorama,Beautiful; Pleasing; Charming; Good Looking,Girl
manoranjan,One who Pleases the Mind; Appealing and Attractive to Mind; One who charms others mind,Boy
manoranjana,One who pleases the mind,Boy
manorath,Desire; Wish; Long; Crave; Wantings of a mind; Aspiration of Mind,Boy
manoratha,One who is full of desire,Boy
manoroma,Beautiful; Pleasing; Charming; Good Looking,Girl
manota,One who is intelligent,Boy
manotej,One who thinks fast,Boy
manotosha,An indian name for a Boy,Boy
manpal,A recpectful person,Boy
manpaul,A protector of heart,Boy
manprasad,Mentally Calm and Cool Person; Blessed with a peaceful mind,Boy
manpreet,One who is pretty on the eyes,Unisex
manprem,One who is affectionate,Girl
manroop,One who has a beautiful mind,Girl
manrulan,A hindi Boy name,Boy
mansab,One who is dignified,Boy
manser,One who has a great heart,Boy
mansey,He with a beautiful heart,Boy
mansh,A saviour,Boy
manshaant,One with a peaceful heart,Boy
mansheela,Love; Affection,Girl
mansheetal,Having a satisfied heart,Girl
manshi,Woman; Strong Minded Lady; A Feminine form of Manu,Girl
manshoor,One who has principles,Boy
manshree,A wish,Girl
manshvi,She who is intelligent,Girl
mansi,An Indian name for a woman,Girl
mansukh,Pleasure of Mind; Happiness and joy of the mind; One who has delighted mind,Boy
mansukha,A pleasure of mind,Boy
mantej,One who has a glorious soul,Boy
mantek,An optimistic person,Boy
manth,A devoted person,Boy
mantha,Another name for the Sun,Boy
manthan,Reflection Through Study; Churning,Boy
manthara,A holy chant,Girl
manthri,One who gives advices to king,Boy
manti,A lovable girl,Girl
mantosh,A pleasure of mind,Boy
mantra,Beautiful holy chants and hymns,Girl
mantram,Holy Name; One of many names of Lord Vishnu,Boy
manu,One who thinks wisely; Founder Father of Human Beings; Original Man; A ruler of earth,Girl
manuj,It has a Sanskrit meaning as Human; Son of Manu; A variant of Manuja,Boy
manuja,She who is human,Girl
manukha,One who has human form,Girl
manuprairna,One who is insirational,Girl
manuraj,Kuber; Lord of Wealth; Lord of Richness; Lord of Prosperity,Boy
manushi,A kind woman,Girl
manushri,One of many names of Goddess Lakshmi,Girl
manushya,A human being,Boy
manva,Mind or mind identifier,Girl
manvanthar,The age of transition,Boy
manvay,Good Friend; Companion; Well Wisher; Supporter and Guide,Boy
manveer,One with a brave heart,Girl
manvendra,King Among Men; Lord of Men; One of many names of Lord Indra,Boy
manvesh,One who has a gift of music,Boy
manvi,One with best qualities,Unisex
manvik,A kind hearted person,Boy
manvinder,A lord of the heart,Girl
manvir,One with a courageous mind,Boy
manvit,A human being,Boy
manvith,One who is human,Boy
manwant,A persong who has a strong heart,Boy
manwantbir,A warrior who has a strong heart,Boy
manwantpal,The protector of the strong hearted people,Boy
manyam,One who is like the forest,Boy
manyu,Mind; Wise; Powers; To think,Boy
manyudeva,A man of good spirits,Boy
maraala,A woman greaceful as a swan,Girl
marala,Swan,Girl
mardav,Softness; Simple; Delicate,Boy
mardava,She who is full of kindness,Girl
mareechi,Ray of Light; Hope; Son of Brahma; One of the Saptarishi(Seven Sages); Ruler of people created by Brahma,Boy
mareechin,Indian name for the Sun,Girl
mareesha,She who travels a lot,Girl
margi,A traveler,Girl
margin,One who guides,Boy
marichi,Ray of Light; Hope; Son of Brahma; One of the Saptarishi(Seven Sages); Ruler of people created by Brahma,Boy
marichika,A person who is a mirrage of ray of ligh,Girl
marig,"A person who is an illusion, a mirage",Girl
mariraj,One who is the king of the world,Boy
mariyadasan,One who is loved by many,Boy
marjanah,"A precious stone, gem",Girl
marjane,One who is bitter,Girl
markanday,A Devotee of Lord Shiva; A Sage who Wrote Devi Mahatmyam,Boy
markandeya,A Devotee of Lord Shiva; A Sage who Wrote Devi Mahatmyam,Boy
marmik,Perceptive; Piognant; Touching;,Boy
martand,The Sun; King of Thiruvithamkoor; Has a Sanskrit meaning as bird,Boy
martanda,The Sun; King of Thiruvithamkoor; Has a Sanskrit meaning as bird,Boy
marudeva,Lord of the Desert; God of the Desert,Boy
marudevi,Name of lord Rishbhdev's mother.,Girl
marudhvathi,A name of the Goddess Durga,Girl
marudu,A name of the King Marudu Pandiya,Boy
marukatam,A name of emerald,Boy
marunda,He who is industrious,Boy
marushika,One who is born with blessings from Lord Shiva,Girl
marut,The Wind; The Storm God; The father of Hanuman and Bheema,Boy
maruta,"A flashing, shining one",Girl
marutatmaj,Most Beloved Like Gems; One of many names of Lord Hanuman,Boy
maruteesh,A name of Lord Hanuman,Boy
maruthi,A name of Bhimsen,Boy
maruti,One of many names of Lord Hanuman; Son of Marut or Son of the Wind,Boy
marutpati,An Indian name,Boy
maruvili,A name of powerful God; protective,Boy
marvan,A brave person,Boy
maryelle,Italian diminutive of Maria,Girl
marzooqa,The blessed one,Girl
masgaba,One who is born with a vision and light,Girl
masilamani,A name of the Lord HAnuman,Boy
maskeen,A humble and modest individual,Boy
masooda,"A happy, lucky and fortunate individual",Girl
masrani,A common male name in India,Boy
masruq,A male name with Indian and Hindu origin,Boy
mastaan,One who is intoxicated with the God's elixire,Boy
mastikh,"A naughty, not good individual",Boy
mastprem,A man who is absorbed in God's light,Boy
mastroop,He embodies the absorption in God,Boy
mastveer,A carefree and fearless one,Boy
matanga,Sage; Advisor to Devi Lalita; In Sanskrit it has a meaning as Elephant; One who is wise; Saint,Boy
matangi,One of many names of Goddess Devi,Girl
matangini,The female elephant; Name of a Goddess Devi,Girl
mathali,A charioteer of Surya,Boy
mathan,Cupid; God of Love; One of many names of Lord Shri Krishna signifying his attractive qualities,Boy
mathanan,It is a name of Sri Krishna with attractive quality of the Love God,Girl
mathanki,The name of the Goddess Saraswati,Girl
mathavan,Another name of Lord Shiva,Boy
mathesh,A good name,Boy
matheysh,One of many names of Lord Shiva,Boy
mathi,"The Moon; One who is brilliant, Radiant and Shining like the moon;",Boy
mathivanan,One who has bright knowledge,Boy
mathur,Indian surname,Boy
mathura,An ancient religious place,Boy
mati,A spiritual tought,Girl
matinder,Lord of wisdom,Girl
matisha,Name of a Goddess,Girl
matra,A mother,Girl
matrika,One who is a divine mother,Girl
matrikas,A mother of the divine,Girl
matsendra,King of the Fishes; Lord of the fish; A variant is Matsyendra,Boy
matsya,An Indian name meaning fish,Boy
matsyendra,King of the Fishes; Lord of the fish; A variant is Matsendra,Boy
matsyendranatha,A ruler of the sealife,Boy
matwant,He who is intelligent,Boy
maubani,Sweet Female; Sweet Girl; A Honey like sweet child,Girl
mauji,An ornamental border; A decorative border,Girl
maukthikeshwar,Name of God; Diety of Eashwar in a Temple at Srirangapatnam on the banks of river Caveri,Boy
mauktik,One who is as handsome as a pearl,Boy
maulesh,Name of Lord Shiva,Boy
mauli,A crown of hair,Girl
maulik,Precious; Valuable; Priceless; One which is incomparable and matchless,Boy
maulindu,One of many names of Lord Shiva signifying his form with the moon on his head,Boy
maun,"A silente one, silence",Boy
maunang,A shy person,Boy
mauryen,The dark skinned Emporer,Boy
mausam,Season,Girl
mausami,Season,Girl
mausaum,Season,Girl
maushmi,A beautyful girl or the Monsoon wikd,Girl
mausi,Season of Flowers,Girl
mausumi,Season,Girl
mautushi,Sweet Female; Sweet Girl; A Honey like sweet child; Flower; A variant form of Moutushi,Girl
mavali,He who is like the King Mahabali,Boy
mavji,A name of the Lord Krishna,Boy
mawahib,A woman of many talents,Girl
mawlik,A precious one,Boy
maya,Uncertain; Perhaps Mother or Great One; Illusion; Imaginative; Magical,Girl
mayabati,"Mercyfull,kind; Compassionate; Benevolent",Girl
mayakarthikeyan,A precious Boy,Boy
mayan,Pure One; Innocent; One of many names of Lord Shiva,Boy
mayandi,"The name of the Supreme, caring and loving God",Boy
mayank,"Moon; Beautiful, Calm and Serene Moon",Boy
mayanka,A Boy who looks like the Moon,Boy
mayappan,A true and honest one,Boy
mayara,A beloved girl,Girl
mayilan,One of many names of God Murugan signifying his animal peacock; Similar to Mayur,Boy
maynka,Indian name for the moon,Boy
mayon,The Black God; A person of Black Complexion;,Boy
mayoor,Peacock; Beautiful and Colourful like Peacock which is very appealing,Boy
mayra,A beloved girl,Girl
mayray,She who is mine,Girl
mayree,"My girl, she who belongs to me",Girl
mayuk,One who is full of brilliance and splendor,Boy
mayukh,"Sun; God of Light and Truth; Bright, Radiant and Glorious Light of the Sun",Boy
mayukha,A bright ray of light,Girl
mayukhi,Pea-hen; Someone who is like a peacock,Girl
mayukmala,A cluster of rays,Girl
mayur,A peacock,Boy
mayura,Indian name meaning an illusion,Girl
mayuran,Name of Lord Murugan,Boy
mayuri,Pea-hen; Someone who is like a peacock,Girl
mayurika,Pea-hen; Someone who is like a peacock,Girl
mayush,A lovable and energetic individual,Boy
mazatl,One who is the place of Deer,Boy
mazhilan,He who has been given a happy life,Boy
medh,One of the many names of Goddess Saraswati,Boy
medha,One of great intellect,Girl
medhaj,One who is a chief,Boy
medhakara,A woman who is like a Peacock,Girl
medhansh,One who Born with Intelligence,Boy
medhinee,A woman of the earth,Girl
medhya,A mighty woman,Girl
medura,A girl of great inteligence,Girl
meelan,To be in union with the world,Boy
meenakshi,"A girl who has beautiful, fish-like eyes",Girl
meenal,Precious Gem; Precious Jewel,Girl
meenan,A person with beautiful eyes,Girl
meenavan,A fisherman,Boy
meenesh,A Boy with great intellent,Boy
meenu,A gril who is a precious stone,Girl
meerant,A woman devoted to Krishna,Girl
meeresh,A Hindu God,Boy
meet,Friend; Companion; Well Wisher; Supporter,Boy
meeta,A woman who is always a good friend,Girl
meetaan,One who is a great friend,Girl
meetul,One who has a limited number of friends,Boy
megamynthan,One who is the Son of the Clouds,Boy
megavana,A Cloud-like woman,Girl
megh,Cloud; A variant name is Mehal,Boy
meghnaad,Roar of Clouds; Thunder,Boy
megha,A cloud of rain,Girl
meghadri,A Hill that is made of clouds,Boy
meghaj,Pearl,Boy
meghal,A name of the River Ganges,Girl
meghamala,Series cloud; A chain of clouds; Beautiful,Girl
meghamallar,Musical note,Boy
meghana,A woman of the clouds,Girl
meghanada,Who is like a Thunder or the Lord of the Sky,Boy
meghari,A cloud-like beauty,Girl
meghashyam,One of the many names of Lord Krishna signifying his dark colored skin tone like grey clouds,Boy
meghavini,An intelligent young girl,Girl
meghayati,The cloud bearer,Boy
meghayoni,A garland of the Clouds,Girl
meghdutt,Gift of Clouds; Given by the Clouds; Blessing of the Clouds,Boy
meghdutta,One who was the gift of the clouds,Boy
meghna,A cloud,Girl
meghnaad,Roar of Clouds; Thunder,Boy
meghnad,Roar of Clouds; Thunder,Boy
meghnath,Lord of the Sky; King of Clouds; One of many names of Lord Indra,Boy
meghraj,Lord of the Sky; King of Clouds; One of many names of Lord Indra,Boy
megraj,An epither of Indra,Boy
meha,One who is intelligent,Girl
mehaan,Indian name meaning cloud,Boy
mehak,An aura of smell,Girl
mehal,Cloud; A variant name is Megh,Boy
mehan,One who is pure,Boy
mehanavat,A gift from the clouds,Boy
mehar,One who is kind and graceful,Girl
meharbaan,Merciful and kind person,Boy
meharban,One who is full of kindness,Boy
meharbhagat,One who is devoted to the king,Boy
meharbhoop,A merciful king,Boy
mehardharam,A kindness of the Lord,Boy
meharjeet,He who has won God's mercy,Boy
meharjot,A light of grace,Girl
meharmeet,A friend who is kind,Boy
meharpal,One who is prostected by kindness,Boy
meharpreet,One who loves God,Unisex
meharprem,A love that is kind,Boy
mehartek,One who has God's support,Boy
meharvaan,One who is kind,Boy
meharveer,A brave and merciful person,Boy
mehatnu,A Hindi Boy's name,Boy
mehbooba,One who is greatly loved,Girl
mehendale,Indian Boy name,Boy
meher,Indian word for benevolence,Unisex
meherwan,A kind and friendly person,Boy
mehith,One who is always smiling,Boy
mehnga,One who is costly,Girl
mehpreet,A mind filled with love,Girl
mehranoosh,An immortal sun,Girl
mehransh,One who is a gift of God,Boy
mehtar,Mehtar is a term used to refer a Prince from East-Indian Region. So Mehtar is refered to a Prince.,Boy
mehul,"Mehul is derived from the Sanskrit word ""Meh"" which means ""Rain"" or ""Cloud"".",Boy
mehula,"Mehula is referred to the Rain. It is derived from Sanskrit word ""Meh"".",Girl
mehuli,Mehuli derived from a sanskrit word that means a very small rainy cloud.,Girl
meiyappan,"The truth speaking person, always stand for the truth and never let it down",Boy
mekha,A cloud or a rainy cloud,Girl
mekhal,The girdle or belt which strengthens the dress around the waist,Boy
mekhala,"An elevated geological formation of the mountain, slope of the hillyup",Girl
mekhla,"Slope of a mountain; Belt, dress; A variant spelling is Mekhala",Girl
melliyal,One who has huge sense of responsibility,Boy
mena,The divinity who represents motherhood.,Girl
menaha,Celestial damsel; A variant spelling is Menaka,Girl
menaja,One of many names of Goddess Parvathi,Girl
menaka,Celestial damsel; A variant spelling is Menaha,Girl
mendha,A person marked by the excercise of good judgment or common sense in practical matters.,Boy
meni,Female cat; Thunderbolt; Speech;,Girl
merdasan,An influential person who is filled with fun,Boy
merezban,One who is sociable and charming individual,Boy
meruprbha,A Bengali name meaning Polar light,Girl
methi,A hevenly damsel from Hindu mythology,Girl
methika,Name of the plant fenugreek and its grain,Girl
metri,Friendship; Companionship; Wishing Well; Supporting,Boy
meygnanam,"The ultimate fact, extraordinary.",Boy
meykandan,The person who knows about the reality.,Boy
meyyalagan,The person who is honest and fine looking.,Boy
meyyan,The person who is straightforward.,Boy
meyyappan,The person who is ingenuous.,Boy
meyyarasan,The person who is innocent.,Boy
mezwar,"One who is reasonable, analytical and versatile",Boy
midhil,gentle ness.,Boy
midhilesh,father of Seetha devi.,Boy
midhinesh,"the Lord Indira, who is the monarch of paradise.",Boy
midhush,producing in abundance.,Boy
mihika,"haze, miasma, droplets.",Girl
mihir,the sun.,Boy
mihira,the great Sun.,Girl
mihirkiran,"Sun Ray; Bright, Brilliant and Radiant Sun",Boy
mihit,"the Goddess Surya, Sun.",Boy
mihuthan,the person who has superfluous in whole things.,Boy
mikul,Comrade; Friend; Companion; Pal,Boy
mili,In Hebrew it means a virtuous person. In German it refers to a person who works hard. In Hindi it means to find,Girl
milind,Bee; Honey Bee; A varaint of Milinda; One of many names of Lord Shri Krishna,Boy
miloni,"An achiever, a winner",Girl
minda,Knowledge; Wisdom; Intelligence;,Girl
minesh,King of Fish; Ruler of Fish; Leader of Fish,Boy
mini,"A tiny or a small version of anything, mostly a pet name",Girl
minika,Calmness; Peace; Quite,Girl
minimol,Small Daughter; Little one; Small child,Girl
mintoo,"A healthy person, a strong one",Boy
mintu,"A healthier person, one who is strong",Boy
miraya,Name of Lord Krishna's devotee; A variant spelling is Meera,Girl
misal,Example; Role Model;,Boy
mishti,"Sweet; Sweet person; Its a Bengali name signifying a cute, lovable and sweet person",Girl
mishu,"A faithful and honest person, cute or pretty",Girl
misri,Sweet Person; Mixed Sweet; A variant spelling of Mishri,Girl
miten,Friend; Companion; Well Wisher; Supporter,Boy
mitesh,One with Few Desires; Close to God; One of many names of Lord Shiva,Boy
mithil,Kingdom; Sanskrit name meaning Ancient India; A variant form of Mithila,Boy
mithila,Kingdom of Mithil; Sanskrit name for Ancient India; A variant form is Mithil,Boy
mithilesh,The King of Mithila; Janak; Father of Sita; Lord of Mithila which means Ancient India in Sanskrit,Boy
mithlesh,The King of Mithila; Janak; Father of Sita; Lord of Mithila which means Ancient India in Sanskrit,Boy
mithran,"Sun; God of Light and Truth; Bright, Radiant and Glorious Light of the Sun",Boy
mithu,Sweet; Lovable and Cute Girl; A variant spelling of Mitu,Girl
miti,Date,Girl
mitrajit,Friendly; Companion; Well Wisher; One who wins peoples heart;,Boy
mitrakshar,Rhyme in verse; Name of King of Tripura,Boy
mitul,Limited; Friend; Companion; Well Wisher; Derived from Sanskrit word Mita meaning measured;,Boy
mlanima,Gloomy; Moody; Mixed Emotions,Girl
mocaniya,"A woman who is benevolent, generous. Possess or manifest love for mankind.",Girl
modak,Pleasing; A name of a food favorite to the Hindu God Ganesha,Boy
modal,Enjoyment; Fun; Pleasure;,Boy
moh,Love; Attraction; Liking; Wishing; Craving; Wanting,Boy
mohajit,One who can win hearts with his Attraction; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
mohak,Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
mohal,Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
mohana,Lovingly & Affection; One who loves to be beautiful; One who likes to be appealing and charming,Boy
mohanlal,A dear one who is Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
mohin,Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
mohina,A talking bird; Beautiful; Attractive; Desirable,Girl
mohinderpratap,"Bee, any of numerous hairy bodied insects including social and solitary species.",Boy
mohinderpreet,A messenger who bears or presents.,Boy
mohini,Most Beautiful; Very Attractive; Charming and Admirable; Very Desirable,Girl
mohitlal,A dear one who is Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
mohon,Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
mohona,An opening of river; A Bengali equivalent of Mohana or Mohini,Girl
mohonmala,Necklace; A Bengali name meaning a Garland of wishes,Girl
mohul,Beautiful; Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
moidu,A cute and deserving person; elegance,Boy
moithili,An epithet of Sita; A variant spelling of Maithili,Girl
moitreyi,"Friendly,Name Of A Woman Scholar; A Bengali variant of the Sanskrit name Maitreyi which means well learned lady",Girl
moitri,"Friendly,Name Of A Woman Scholar; A Bengali variant of the Sanskrit name Maitreyi which means well learned lady",Girl
mokhoda,Saviour; A variant of name Mokhtara,Girl
mokkaiyah,A person who is intelligent and brave,Boy
moksh,Salvation; Mukti; Emancipation; Liberation; One who has self-realization and self-knowledge,Boy
mokshit,A person who feels liberated.,Boy
monahar,Attractive; Appealing; Lovable; Likeable; Pleasing; Charming; Desirable,Boy
monash,An analytical and clever individual,Boy
mondem,An individualistic and reasonable being,Boy
monedorigi,An open minded and meditative human being,Boy
monee,"Harmony, joy, happiness",Boy
monikanchan,Jewellery and Gold; Ornament of Gold,Girl
monikarnika,A Gold ornament for ear,Girl
monikarnikar,Jewellery and Gold; Ornament of Gold,Girl
monil,Bird;,Boy
monish,Lord of Mind; God of mind; Lord of the inner heart,Boy
monisha,Intellectual; Knowledgeable; Wise; Well Learned; Brilliant; Intelligent,Girl
monosij,God of Love; Cupid; One of many names of Lord Shri Krishna signifying his attractive qualities,Boy
mookhan,An affectionate and responsible person,Girl
mooljee,"The chief person, the head post",Boy
moolraj,The head of all the chiefs,Boy
moomal,The one who belongs to the family of chiefs,Boy
moorti,An Idol; Statue; Figure; Diety; Image; A Sanskrit name meaning avatar; A variant is Murti,Boy
moraka,An individual who is freedom loving and honoured,Girl
moreshwar,The pleasing Lord. Also refers to the Lord Ganesha,Boy
moti,Pearl; Valuable; Precious Stone; Shining,Boy
motia,Pearl; A variant of name Moti,Girl
motilal,Pearl; Valuable; Precious Stone; Shining,Boy
mottayita,One who is reserved and has a friendly personality,Girl
mou,Honey; Sweet,Girl
moubani,A flower,Girl
moulik,Valuable; Precious; Priceless;,Boy
mounasami,A person who remains silent,Boy
mounesh,"The silent god, an avatar of Lord Shiva",Boy
mouni,One of many names of Lord Shiva,Boy
mounil,"A bird, someone who can fly",Boy
movesh,A Gujarati name meaning Transferring,Boy
movind,A cool tempered person with strong mind,Boy
mowgli,Famous character of the Rudyard Kipling's The Jungle Book,Boy
moyna,Bird,Girl
mridini,One of many names of Goddess Parvathi,Girl
mridu,Gentle; Delicate; Tender;,Girl
mridul,Soft; Calm; Tender; Delicate; Warm; Gentle,Boy
mridumita,Good friend; A variant name of Mridu which means Gentle; Delicate; Tender;,Girl
mrigaa,A Female Deer; A beautiful animal,Boy
mrigaj,Son of the Moon; One who is calm and serene like the Moon,Boy
mrigakshi,One with deer like beautiful eyes; Fawn Eyed; Deer's Eye,Girl
mrigalochan,One who has beautiful eyes like that of a Deer,Boy
mriganayana,One with deer like beautiful eyes; Fawn Eyed; Deer's Eye,Girl
mriganetra,One with deer like beautiful eyes; Fawn Eyed; Deer's Eye,Girl
mrigank,"Moon; Beautiful, Calm and Serene Moon",Boy
mriganka,The Moon; Bright; Brilliant; Radiant and Luminant Moon,Girl
mrigasya,One of many names of Lord Shiva,Boy
mrigaya,Hunting; One who chases a deer,Boy
mrigesh,Lion; Lord of Animals; King of animals; Powerful and Mighty,Boy
mrinaal,Lotus Stack; Root of Lotus; One who will grow to shine among other worldly matters,Boy
mrinal,Lotus; Beautiful and Appealing; Growing to shine among worldly matters,Boy
mrinalini,Lotus Stalk; Stem of Lotus; Intelligent;,Girl
mrinank,"Moon; Beautiful, Calm and Serene Moon",Boy
mrinanka,"Moon; Beautiful, Calm and Serene Moon",Boy
mrinendra,Lion; Lord of Animals; King of animals; Powerful and Mighty,Boy
mrinmayee,One with deer like beautiful eyes; Fawn Eyed; Deer's Eye,Girl
mrinmayi,Mother Earth,Girl
mrithun,Made Of Earth; Lord of Death,Boy
mritsa,Mother Earth,Girl
mrittika,Mother Earth,Girl
mritunjay,One of many names of Lord Shiva; One who can conquer death; Victory over Death,Boy
mruga,Mruga is the name of a bird,Girl
mrugesh,"Lion, as strong and mighty as lion.",Boy
muaath,Protected,Boy
muhammad,Praiseworthy,Boy
munindra,The best among the saints.,Boy
munisuvrat,Munisuvrat is the name of 20thJain Tirthankara.,Boy
myra,Beloved,Girl
mythili,"Princess name, name of Goddess Sita",Girl
naag,"The huge snake, a serpent",Boy
naagraaj,"The King of the serpents, one who possess serpents.",Boy
naagarjun,The superior among the serpents.,Boy
naagchand,"The serpent, the serpent possessor.",Boy
naagdhar,"Refers to the Lord Shiva, who wears the cobra around his neck.",Boy
naagendra,The Lord of the peak of serpents.,Boy
naagesh,The god of the serpents. One of the name of Lord Shiva,Boy
naagpal,The person who is the redeemer of the serpents.,Boy
naagpati,The ruler of the serpents.,Boy
naagraaj,The serpent King,Boy
naagraj,The monarch of the serpents.,Boy
naakesh,The brightful moon in the sky.,Boy
naambhagat,follower of the Lord.,Boy
naamliv,Absorbed in Naam; One who meditates in name of Shiva,Boy
naavalan,The person who delivers a speech.,Boy
naavarasan,The person who is very well knowledge in drawings.,Boy
nabah,The person who is great noble or sky.,Girl
nabanipa,Resembles very fresh blossom.,Girl
nabarun,Person who born under the shining sun.,Boy
nabendu,The one who was born under the first moon.,Boy
nabh,Blue space of sky.,Boy
nabha,the middle of the heart or mind.,Girl
nabhanyu,Continuing forever or indefinitely.,Boy
nabhayan,The person who is closer to the sky.,Boy
nabhendu,The beautiful and pretty moon in the blue sky.,Boy
nabhi,The supreme effort that one can make.,Boy
nabhij,"Lord Brahma, the creator of the world.",Boy
nabhik,The leader of the accurate path way.,Boy
nabhikumar,Nabhikumar is derived from the name Nabhiraj and means father of Lord Rishabhdev.,Boy
nabhinandan,A name of Lord Rishabhdev,Boy
nabhiraj,The Lord Brahma the initiator of the universe.,Boy
nabhiray,A variation of the name Nabhiraj. It means father of Lord Rishabhdev.,Boy
nabhith,The person who is oblivious of dangers.,Boy
nabhkanti,"The person who resembles the biggest star in the space, Sun.",Boy
nabhoj,The person who came to this world from the Sky.,Boy
nabhomandal,The person who resembles the blue sky.,Boy
nabhomani,The rays of the sun.,Boy
nabhya,"Middle, centre, mid, equal distance from both sides.",Girl
nachiappa,Father of a burning fire,Boy
nachik,A very short form of Nachiketa.,Boy
nachiket,The person who is the son of Vajashravas.,Boy
nachiketa,The event of burning fire.,Boy
nachiketan,Something meant to burn,Boy
nachiketh,Fire from the hell,Boy
nachimi,One who is friendly and hass a sensitive nature,Boy
nachni,The person who is good in dancing.,Girl
nacoma,Having the character that attract love or affection.,Boy
nadal,Overall circumstances or condition in life.,Boy
nadapratithishta,The person who admiring and escalating towards music.,Boy
nadasia,A servant of the soothing music,Girl
nadin,"Slightly wet, care, trust, subtle.",Girl
nadinatha,The Lord of the streams or rivers.,Boy
nadipati,The Master of the rivers.,Boy
nagaiah,"The God Cobra, the king of the snakes.",Boy
nagaiyan,The King of all the snakes,Boy
nagaja,Daughter of the high hills.,Boy
nagalata,The spiritual serpent or deity cobra.,Girl
naganan,"The snake's child, or born of snake",Boy
naganand,The son or the born of Naga.,Boy
naganandi,The girl child of the snake,Girl
naganath,"The biggest cobra, the ruler of the serpents.",Boy
nagander,The big sun in the world.,Boy
nagandra,The ruler of the black cobra.,Boy
nagannan,"The master of the snakes, the charmer",Boy
nagapati,The master of the entire hills.,Boy
nagappa,"Father of the serpents, forefather of the cobra.",Boy
nagappan,The ancestors of the snake,Boy
nagaraj,One who possess snakes,Boy
nagaraja,The monarch of the serpents.,Boy
nagarajan,The Lord of all snakes.,Boy
nagaraji,One who have snakes,Girl
nagarathn,The one who has the precious diamond with him.,Boy
nagarathna,The precious diamond of the serpents.,Boy
nagari,The antagonist of the snakes.,Boy
nagarin,The master of the city or town.,Boy
nagarjun,The greatest and finest among the serpents.,Boy
nagarjuna,The champion among the snakes.,Boy
nagas,Additional name for the snake or cobra.,Boy
nagasami,Master of the serpents,Boy
nagasenan,The army of serpents,Boy
nagashree,Supernatural snake or deity serpent.,Girl
nagaswamy,The royal emperor of the snakes.,Boy
nagavanshi,One who is from the species of serpents,Boy
nagavenkatasai,The powerful and supernatural creator of the World.,Boy
nagchuda,The holy bangles of a serpent,Girl
nagdhar,The one who beautifies the hills.,Boy
nagendra,The principal of the snakes or the master of the mountains.,Boy
nagendran,Interesting or colorful or multi colors.,Boy
nageshan,The main God Shiva who is wearing the cobra around his neck.,Boy
nageshvar,The Lord of the serpents,Boy
nageshwar,The monarch of the cobras.,Boy
nageshwara,The monarch of the snakes,Boy
nageshwaran,Lord of the snakes,Boy
nageshwari,The Goddess of the serpents,Girl
nageswar,The controller of the serpents,Boy
nageswara,One who has control over serpents,Boy
nageven,A smart and handsome Boy,Boy
naggar,Name of the Lord Krishna,Boy
